name,email,nim,angkatan
Winda Dewi Handoko,i0522001@student.uns.ac.id,I0522001,2022
Tari Mulyadi,i0522002@student.uns.ac.id,I0522002,2022
Candra Cahyani,i0522003@student.uns.ac.id,I0522003,2022
Gita Pratama,i0522004@student.uns.ac.id,I0522004,2022
Jaya Prasetyo,i0522005@student.uns.ac.id,I0522005,2022
Rani Sari,i0522006@student.uns.ac.id,I0522006,2022
Nur Sirait,i0522007@student.uns.ac.id,I0522007,2022
Qori Aditya,i0522008@student.uns.ac.id,I0522008,2022
Diana Tari Sari,i0522009@student.uns.ac.id,I0522009,2022
Joko Prihatin,i0522010@student.uns.ac.id,I0522010,2022
Bayu Ramadhan,i0522011@student.uns.ac.id,I0522011,2022
Vina Chandra Harahap,i0522012@student.uns.ac.id,I0522012,2022
Dian Samsul Prabowo,i0522013@student.uns.ac.id,I0522013,2022
Umi Andriani,i0522014@student.uns.ac.id,I0522014,2022
Siti Prihatin,i0522015@student.uns.ac.id,I0522015,2022
Jaya Hendra Prabowo,i0522016@student.uns.ac.id,I0522016,2022
Rini Budiman,i0522017@student.uns.ac.id,I0522017,2022
Umi Nurfadilah,i0522018@student.uns.ac.id,I0522018,2022
Joko Azzahra,i0522019@student.uns.ac.id,I0522019,2022
Gita Prasetyo Kurniawan,i0522020@student.uns.ac.id,I0522020,2022
Siti Nugroho,i0522021@student.uns.ac.id,I0522021,2022
Oki Pangestu,i0522022@student.uns.ac.id,I0522022,2022
Rini Wibowo,i0522023@student.uns.ac.id,I0522023,2022
Andi Atmaja,i0522024@student.uns.ac.id,I0522024,2022
Nina Pratama,i0522025@student.uns.ac.id,I0522025,2022
Olivia Anggraini,i0522026@student.uns.ac.id,I0522026,2022
Dini Nurfadilah,i0522027@student.uns.ac.id,I0522027,2022
Prima Indah Darmawan,i0522028@student.uns.ac.id,I0522028,2022
Qori Tari Kusumawati,i0522029@student.uns.ac.id,I0522029,2022
Gilang Permana,i0522030@student.uns.ac.id,I0522030,2022
Zulfan Maharani,i0522031@student.uns.ac.id,I0522031,2022
Zahra Harahap,i0522032@student.uns.ac.id,I0522032,2022
Joko Maya Pangestu,i0522033@student.uns.ac.id,I0522033,2022
Hendra Kusuma,i0522034@student.uns.ac.id,I0522034,2022
Bella Zahra Prihatin,i0522035@student.uns.ac.id,I0522035,2022
Kiki Firmansyah,i0522036@student.uns.ac.id,I0522036,2022
Yuda Lina Permana,i0522037@student.uns.ac.id,I0522037,2022
Yoga Kartika Nugroho,i0522038@student.uns.ac.id,I0522038,2022
Dewi Saputra,i0522039@student.uns.ac.id,I0522039,2022
Dian Faris Santoso,i0522040@student.uns.ac.id,I0522040,2022
Dewi Wijaya,i0522041@student.uns.ac.id,I0522041,2022
Bella Winda Pratama,i0522042@student.uns.ac.id,I0522042,2022
Bella Setiawan,i0522043@student.uns.ac.id,I0522043,2022
Hadi Sirait,i0522044@student.uns.ac.id,I0522044,2022
Olivia Arif Maulana,i0522045@student.uns.ac.id,I0522045,2022
Fauzi Rani Firmansyah,i0522046@student.uns.ac.id,I0522046,2022
Prima Maulana,i0522047@student.uns.ac.id,I0522047,2022
Lestari Erwana Maulana,i0522048@student.uns.ac.id,I0522048,2022
Wahyu Permana,i0522049@student.uns.ac.id,I0522049,2022
Bambang Putra,i0522050@student.uns.ac.id,I0522050,2022
