name,email,nim,angkatan
Diana Zulfan Susanto,i0524001@student.uns.ac.id,I0524001,2024
Fauzi Safitri,i0524002@student.uns.ac.id,I0524002,2024
Putri Lestari Kurniawan,i0524003@student.uns.ac.id,I0524003,2024
Laila Putri,i0524004@student.uns.ac.id,I0524004,2024
Andi Rahayu,i0524005@student.uns.ac.id,I0524005,2024
Gita Oscar Pangestu,i0524006@student.uns.ac.id,I0524006,2024
Nanda Atmaja,i0524007@student.uns.ac.id,I0524007,2024
Eko Kiki Harahap,i0524008@student.uns.ac.id,I0524008,2024
Prima Kurniawan,i0524009@student.uns.ac.id,I0524009,2024
Nina Kartika Saputra,i0524010@student.uns.ac.id,I0524010,2024
Vina Wati Saputra,i0524011@student.uns.ac.id,I0524011,2024
Laila Joni Pratama,i0524012@student.uns.ac.id,I0524012,2024
Diana Cahyani,i0524013@student.uns.ac.id,I0524013,2024
Tina Galih Utomo,i0524014@student.uns.ac.id,I0524014,2024
Kartika Azzahra,i0524015@student.uns.ac.id,I0524015,2024
Yuda Yoga Saputra,i0524016@student.uns.ac.id,I0524016,2024
Yani Yuda Andriani,i0524017@student.uns.ac.id,I0524017,2024
Rani Wibowo,i0524018@student.uns.ac.id,I0524018,2024
Yani Saputri,i0524019@student.uns.ac.id,I0524019,2024
Lestari Erwana Wulandari,i0524020@student.uns.ac.id,I0524020,2024
Vera Galih Irawan,i0524021@student.uns.ac.id,I0524021,2024
Surya Kurniawan,i0524022@student.uns.ac.id,I0524022,2024
Cahya Bambang Hidayat,i0524023@student.uns.ac.id,I0524023,2024
Cahya Hermawan,i0524024@student.uns.ac.id,I0524024,2024
Laila Sari,i0524025@student.uns.ac.id,I0524025,2024
Zahra Dini Susanto,i0524026@student.uns.ac.id,I0524026,2024
Zaki Mulyadi,i0524027@student.uns.ac.id,I0524027,2024
Citra Mulyadi,i0524028@student.uns.ac.id,I0524028,2024
Eka Maulana,i0524029@student.uns.ac.id,I0524029,2024
Samsul Surya Firmansyah,i0524030@student.uns.ac.id,I0524030,2024
Nina Joko Kusuma,i0524031@student.uns.ac.id,I0524031,2024
Bella Irawan,i0524032@student.uns.ac.id,I0524032,2024
Taufik Yoga Pangestu,i0524033@student.uns.ac.id,I0524033,2024
Cahya Andriani,i0524034@student.uns.ac.id,I0524034,2024
Bella Lestari Cahyani,i0524035@student.uns.ac.id,I0524035,2024
Wati Pangestu,i0524036@student.uns.ac.id,I0524036,2024
Gita Maulana,i0524037@student.uns.ac.id,I0524037,2024
Nur Maharani,i0524038@student.uns.ac.id,I0524038,2024
Olivia Kurniawan,i0524039@student.uns.ac.id,I0524039,2024
Prasetyo Nurfadilah,i0524040@student.uns.ac.id,I0524040,2024
Oscar Qori Ramadhan,i0524041@student.uns.ac.id,I0524041,2024
Reza Santoso,i0524042@student.uns.ac.id,I0524042,2024
Jaya Utami Saputri,i0524043@student.uns.ac.id,I0524043,2024
Joni Kurnia Saputri,i0524044@student.uns.ac.id,I0524044,2024
Candra Putri,i0524045@student.uns.ac.id,I0524045,2024
Made Budi Nugroho,i0524046@student.uns.ac.id,I0524046,2024
Nanda Hendra Maharani,i0524047@student.uns.ac.id,I0524047,2024
Diana Eka Handoko,i0524048@student.uns.ac.id,I0524048,2024
Umi Safitri,i0524049@student.uns.ac.id,I0524049,2024
Wati Saputra,i0524050@student.uns.ac.id,I0524050,2024
